melhor_fitness,fitness_otimo,tempo_execucao,gap_final,geracoes_sem_evolucao,num_ilhas
1420,1373,166,3.42316,928,8
1417,1373,169,3.20466,502,8
1403,1373,164,2.185,448,8
1442,1373,160,5.02549,1134,8
1417,1373,156,3.20466,546,8
1420,1373,174,3.42316,1215,8
1425,1373,158,3.78733,1223,8
1409,1373,158,2.622,563,8
1403,1373,158,2.185,1046,8
1396,1373,158,1.67516,748,8
1407,1373,159,2.47633,691,8
1417,1373,159,3.20466,1144,8
1418,1373,170,3.27749,985,8
1399,1373,159,1.89366,526,8
1401,1373,160,2.03933,673,8
1422,1373,159,3.56883,373,8
1428,1373,158,4.00583,759,8
1387,1373,159,1.01966,584,8
1422,1373,160,3.56883,483,8
1433,1373,160,4.36999,425,8
